gauge,unit_weight
0.056,0.000659
0.058,0.0006736
0.06,0.0008791
0.062,0.0009084
0.064,0.00093771
0.07,0.00102562
0.072,0.00105492
0.074,0.00108422
0.076,0.00111353
0.08,0.001211
